Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5086035263,RenneBonin69 (2/3),0,344,C Evan Mobley F DeMar DeRozan G Nique Clifford PF Tristan da Silva PG Dejounte Murray SF Brice Sensabaugh SG Desmond Bane UTIL Sandro Mamukelashvili,,Landry Shamet,SG,31.51%,19.25
2,5086430920,Lujack43 (19/20),0,341,C Karl-Anthony Towns F Daeqwon Plowden G Trey Murphy III PF Tristan da Silva PG Dejounte Murray SF Kawhi Leonard SG Jordan Clarkson UTIL Brice Sensabaugh,,Nikola Jokic,C,24.77%,64.5
3,5086409112,jujudadon11 (5/20),0,330,C Wendell Carter Jr. F Tristan da Silva G Keon Ellis PF Derrick Jones Jr. PG LaMelo Ball SF Kawhi Leonard SG Trey Murphy III UTIL Darius Garland,,Killian Hayes,G,22.40%,19
4,5086461764,rdixon13 (14/20),0,322.25,C Wendell Carter Jr. F Miles Bridges G Killian Hayes PF Tristan da Silva PG Jalen Suggs SF Desmond Bane SG Trey Murphy III UTIL Kawhi Leonard,,RJ Barrett,SF,21.72%,27.75
5,5085860686,clavijo (2/8),0,319.75,C Wendell Carter Jr. F Nique Clifford G Sam Merrill PF Derrick Jones Jr. PG Jalen Brunson SF Tristan da Silva SG Anthony Edwards UTIL DeMar DeRozan,,Nikola Jokic,UTIL,20.71%,64.5
6,5086488780,gametimedecisi0n,0,316.75,C Nikola Jokic F Miles Bridges G Brice Sensabaugh PF Naz Reid PG Dejounte Murray SF Tristan da Silva SG Christian Braun UTIL Keon Ellis,,Killian Hayes,PG,20.31%,19
7,5085951537,crunksports,0,314.75,C Sandro Mamukelashvili F Kawhi Leonard G Darius Garland PF Karlo Matkovic PG Dejounte Murray SF DeMar DeRozan SG Trey Murphy III UTIL Wendell Carter Jr.,,Jakob Poeltl,C,18.89%,20.25
8,5086102411,jwclark311 (5/20),0,314.5,C Wendell Carter Jr. F Kawhi Leonard G Jalen Brunson PF Daeqwon Plowden PG Dejounte Murray SF Nique Clifford SG Killian Hayes UTIL Darius Garland,,Karl-Anthony Towns,C,18.46%,40.75
8,5086189953,paintgirl (20/20),0,314.5,C Wendell Carter Jr. F Miles Bridges G Jamal Murray PF Tristan da Silva PG Jalen Brunson SF Derrick Jones Jr. SG Killian Hayes UTIL Kawhi Leonard,,Killian Hayes,SG,18.17%,19
10,5086166914,dfwtsx08 (14/20),0,313.75,C Nikola Jokic F Kawhi Leonard G Darius Garland PF Tristan da Silva PG Dejounte Murray SF Daeqwon Plowden SG Killian Hayes UTIL Isaiah Jackson,,Darius Garland,G,16.70%,36.25
10,5086421763,peltifreeze89 (6/20),0,313.75,C Wendell Carter Jr. F Kawhi Leonard G Darius Garland PF Tristan da Silva PG Killian Hayes SF Nique Clifford SG Jevon Carter UTIL Nikola Jokic,,Daeqwon Plowden,PF,15.02%,21
10,5086451608,qdog1124,0,313.75,C Mitchell Robinson F OG Anunoby G Darius Garland PF Miles Bridges PG Dejounte Murray SF Kawhi Leonard SG Christian Braun UTIL Wendell Carter Jr.,,Dejounte Murray,PG,14.89%,45.25
13,5086189151,JayEeDoubleU (20/20),0,313.5,C Wendell Carter Jr. F Kawhi Leonard G Darius Garland PF Miles Bridges PG Killian Hayes SF Tristan da Silva SG Landry Shamet UTIL Nikola Jokic,,Mikal Bridges,SF,14.36%,18.75
13,5086323837,dbishop999 (11/20),0,313.5,C Wendell Carter Jr. F Tristan da Silva G Landry Shamet PF Miles Bridges PG Darius Garland SF Kawhi Leonard SG Killian Hayes UTIL Nikola Jokic,,Kawhi Leonard,F,13.78%,65.25
13,5086393649,Maloneymat16 (15/20),0,313.5,C Nikola Jokic F Nique Clifford G Darius Garland PF Tristan da Silva PG Dejounte Murray SF Desmond Bane SG Jevon Carter UTIL Killian Hayes,,Jalen Brunson,PG,12.51%,51.5
16,5086066163,dwashing65 (3/20),0,313.25,C Nikola Jokic F Tristan da Silva G Darius Garland PF Daeqwon Plowden PG Jalen Brunson SF Derrick Jones Jr. SG Killian Hayes UTIL DeMar DeRozan,,OG Anunoby,PF,12.29%,33
16,5086066172,dwashing65 (4/20),0,313.25,C Nikola Jokic F Tristan da Silva G Darius Garland PF Daeqwon Plowden PG Jalen Brunson SF Derrick Jones Jr. SG Killian Hayes UTIL DeMar DeRozan,,Jalen Suggs,PG,12.25%,26
