PG,SG,SF,PF,C,G,F,UTIL
Jrue Holiday (42211005),Tre Jones (42211141),Saddiq Bey (42211037),Precious Achiuwa (42211078),Maxime Raynaud (42211068),Stephon Castle (42211015),Devin Vassell (42211104),Herbert Jones (42211156)
Trae Young (42210973),Tre Jones (42211141),Julian Champagnie (42211166),Saddiq Bey (42211037),Maxime Raynaud (42211068),Russell Westbrook (42211028),Jerami Grant (42211057),Herbert Jones (42211156)
Dejounte Murray (42211034),Isaac Okoro (42211206),Bilal Coulibaly (42211120),Saddiq Bey (42211037),Donovan Clingan (42211011),Stephon Castle (42211015),Precious Achiuwa (42211078),Jay Huff (42211130)
De'Aaron Fox (42211018),Tre Jones (42211141),Devin Vassell (42211104),Precious Achiuwa (42211078),Maxime Raynaud (42211068),Desmond Bane (42210987),Jerami Grant (42211057),Herbert Jones (42211156)
Trey Murphy III (42210998),Isaac Okoro (42211206),Devin Vassell (42211104),Saddiq Bey (42211037),Maxime Raynaud (42211068),Josh Giddey (42210995),Jerami Grant (42211057),Herbert Jones (42211156)
Jrue Holiday (42211005),Tre Jones (42211141),Saddiq Bey (42211037),Jerami Grant (42211057),Jay Huff (42211130),Tre Johnson (42211162),Precious Achiuwa (42211078),Donovan Clingan (42211011)
Jalen Suggs (42211041),AJ Green (42211199),Saddiq Bey (42211037),Precious Achiuwa (42211078),Jay Huff (42211130),Isaac Okoro (42211206),Julian Champagnie (42211166),Victor Wembanyama (42210956)
Jrue Holiday (42211005),Stephon Castle (42211015),Isaac Okoro (42211206),Bilal Coulibaly (42211120),Donovan Clingan (42211011),Jalen Suggs (42211041),Devin Vassell (42211104),Jay Huff (42211130)
Tre Johnson (42211162),Stephon Castle (42211015),Isaac Okoro (42211206),Julian Champagnie (42211166),Donovan Clingan (42211011),Jrue Holiday (42211005),Zion Williamson (42210992),Devin Vassell (42211104)
Russell Westbrook (42211028),Stephon Castle (42211015),Isaac Okoro (42211206),Pascal Siakam (42210979),Thanasis Antetokounmpo (42211451),Desmond Bane (42210987),Julian Champagnie (42211166),Donovan Clingan (42211011)
Trae Young (42210973),,Bilal Coulibaly (42211120),Julian Champagnie (42211166),Myles Turner (42211111),Andrew Nembhard (42211054),Kevin Durant (42210966),Donovan Clingan (42211011)
Dejounte Murray (42211034),Stephon Castle (42211015),Kevin Durant (42210966),Zion Williamson (42210992),Jay Huff (42211130),AJ Green (42211199),Ousmane Dieng (42211267),Myles Turner (42211111)
Jrue Holiday (42211005),Tre Johnson (42211162),Toumani Camara (42211082),Zion Williamson (42210992),Thanasis Antetokounmpo (42211451),Josh Giddey (42210995),Jabari Smith Jr. (42211044),Myles Turner (42211111)
Trae Young (42210973),Tre Johnson (42211162),Bilal Coulibaly (42211120),Pascal Siakam (42210979),Thanasis Antetokounmpo (42211451),Russell Westbrook (42211028),Zion Williamson (42210992),Jay Huff (42211130)
Dejounte Murray (42211034),,Bilal Coulibaly (42211120),Zion Williamson (42210992),Myles Turner (42211111),Trae Young (42210973),Ousmane Dieng (42211267),Kevin Durant (42210966)
Josh Giddey (42210995),Tre Johnson (42211162),Jarace Walker (42211047),Jabari Smith Jr. (42211044),Wendell Carter Jr. (42211109),Russell Westbrook (42211028),Ousmane Dieng (42211267),Dejounte Murray (42211034)
De'Aaron Fox (42211018),AJ Green (42211199),Ousmane Dieng (42211267),Jabari Smith Jr. (42211044),Myles Turner (42211111),Jalen Suggs (42211041),Desmond Bane (42210987),Dejounte Murray (42211034)
Jalen Suggs (42211041),Aaron Nesmith (42211113),Jarace Walker (42211047),Jabari Smith Jr. (42211044),Wendell Carter Jr. (42211109),Trey Murphy III (42210998),AJ Green (42211199),Tari Eason (42211075)
Josh Giddey (42210995),Tari Eason (42211075),Ousmane Dieng (42211267),Matas Buzelis (42211031),Wendell Carter Jr. (42211109),Jalen Suggs (42211041),Toumani Camara (42211082),Dejounte Murray (42211034)
Josh Giddey (42210995),AJ Green (42211199),Jarace Walker (42211047),Jabari Smith Jr. (42211044),Thanasis Antetokounmpo (42211451),Desmond Bane (42210987),Ousmane Dieng (42211267),Kevin Durant (42210966)
