PG,SG,SF,PF,C,G,F,UTIL
Stephen Curry (42221065),Josh Hart (42221142),Michael Porter Jr. (42221095),Jimmy Butler (42221526),Nic Claxton (42221205),Keyonte George (42221092),Kristaps Porzingis (42221207),Ajay Mitchell (42221300)
Stephen Curry (42221065),Josh Hart (42221142),Kawhi Leonard (42221051),Jimmy Butler (42221526),Walker Kessler (42221585),Keyonte George (42221092),Mikal Bridges (42221159),Ajay Mitchell (42221300)
Keyonte George (42221092),Cam Spencer (42221262),Lauri Markkanen (42221083),Jimmy Butler (42221526),Nikola Jokic (42221043),Ajay Mitchell (42221300),Tim Hardaway Jr. (42221289),Mitchell Robinson (42221367)
Shai Gilgeous-Alexander (42221045),Cam Spencer (42221262),Lauri Markkanen (42221083),Kristaps Porzingis (42221207),Walker Kessler (42221585),Keyonte George (42221092),Tim Hardaway Jr. (42221289),Ajay Mitchell (42221300)
James Harden (42221059),Max Strus (42221256),Lauri Markkanen (42221083),Kristaps Porzingis (42221207),Walker Kessler (42221585),Keyonte George (42221092),Michael Porter Jr. (42221095),Paul George (42221545)
Jalen Brunson (42221062),Josh Hart (42221142),Michael Porter Jr. (42221095),Kristaps Porzingis (42221207),Zach Edey (42221157),Cam Spencer (42221262),Mikal Bridges (42221159),Mitchell Robinson (42221367)
Ajay Mitchell (42221300),Donovan Mitchell (42221054),Michael Porter Jr. (42221095),Kristaps Porzingis (42221207),Karl-Anthony Towns (42221074),Dennis Schroder (42221232),Paul George (42221545),Nic Claxton (42221205)
Jalen Brunson (42221062),Cedric Coward (42221235),Mikal Bridges (42221159),Jimmy Butler (42221526),Nikola Jokic (42221043),Ty Jerome (42221122),Danny Wolf (42221306),Walker Kessler (42221585)
Jose Alvarado (42221418),Kentavious Caldwell-Pope (42221499),Lauri Markkanen (42221083),Josh Minott (42221529),Nikola Jokic (42221043),Bogdan Bogdanovic (42221553),Michael Porter Jr. (42221095),Karl-Anthony Towns (42221074)
Scotty Pippen Jr. (42221226),Cedric Coward (42221235),Kawhi Leonard (42221051),Noah Clowney (42221229),Karl-Anthony Towns (42221074),Jose Alvarado (42221418),Mikal Bridges (42221159),Zach Edey (42221157)
Shai Gilgeous-Alexander (42221045),Bennedict Mathurin (42221150),Paul George (42221545),Aaron Gordon (42221147),Jusuf Nurkic (42221518),Jalen Brunson (42221062),,Isaiah Hartenstein (42221155)
Stephen Curry (42221065),Cam Spencer (42221262),Kawhi Leonard (42221051),Josh Minott (42221529),Nikola Jokic (42221043),Jose Alvarado (42221418),,Kevin Love (42221404)
Tyrese Maxey (42221048),Kentavious Caldwell-Pope (42221499),Lauri Markkanen (42221083),Dominick Barlow (42221328),Nikola Jokic (42221043),Jose Alvarado (42221418),Dean Wade (42221388),Mitchell Robinson (42221367)
Jamal Murray (42221068),De'Anthony Melton (42221170),Mikal Bridges (42221159),Noah Clowney (42221229),Karl-Anthony Towns (42221074),Jalen Brunson (42221062),,Walker Kessler (42221585)
James Harden (42221059),Max Strus (42221256),Lauri Markkanen (42221083),Jimmy Butler (42221526),Joel Embiid (42221057),Scotty Pippen Jr. (42221226),Kristaps Porzingis (42221207),Landry Shamet (42221401)
Tyrese Maxey (42221048),Donovan Mitchell (42221054),Bennedict Mathurin (42221150),Santi Aldama (42221175),Jusuf Nurkic (42221518),Darius Garland (42221128),Jaylon Tyson (42221179),Jaren Jackson Jr. (42221502)
Keyonte George (42221092),Donovan Mitchell (42221054),Michael Porter Jr. (42221095),Santi Aldama (42221175),Al Horford (42221211),Cedric Coward (42221235),Dominick Barlow (42221328),Jonas Valanciunas (42221413)
Jalen Brunson (42221062),Bennedict Mathurin (42221150),,OG Anunoby (42221111),Walker Kessler (42221585),Ja Morant (42221076),Noah Clowney (42221229),Zach Edey (42221157)
Jamal Murray (42221068),Bennedict Mathurin (42221150),Aaron Wiggins (42221276),Aaron Gordon (42221147),Zach Edey (42221157),Darius Garland (42221128),Santi Aldama (42221175),Scotty Pippen Jr. (42221226)
Shai Gilgeous-Alexander (42221045),Kentavious Caldwell-Pope (42221499),Kawhi Leonard (42221051),Noah Clowney (42221229),Danny Wolf (42221306),Jalen Brunson (42221062),,Kevin Love (42221404)
