name,team,primary_position,salary,avg_pts,proj_pts_dk,ceiling,floor,value,proj_own,gpp_score,matchup,game_total
Nikola Jokic,DEN,C,12500,64.76,67.79,92.08,43.5,5.423,55.0,76.696,NYK@DEN,230.0
Victor Wembanyama,SAS,C,10500,48.8,49.06,66.65,31.47,4.672,54.7,56.785,LAC@SAS,218.5
Jaylen Brown,BOS,SG,10000,46.74,48.15,65.4,30.9,4.815,54.5,55.828,DAL@BOS,224.5
Jamal Murray,DEN,PG,9100,44.49,46.57,63.26,29.88,5.118,53.9,54.208,NYK@DEN,230.0
Alperen Sengun,HOU,C,9400,44.3,46.06,62.57,29.55,4.9,54.0,53.657,POR@HOU,229.0
Kawhi Leonard,LAC,SG,9500,46.02,44.24,60.1,28.38,4.657,54.0,51.72,LAC@SAS,218.5
Deni Avdija,POR,SF,8600,44.12,43.79,59.48,28.1,5.092,53.0,51.335,POR@HOU,229.0
Kevin Durant,HOU,SF,9200,42.0,43.67,59.32,28.02,4.747,53.5,51.16,POR@HOU,229.0
Jalen Brunson,NYK,PG,9000,41.26,40.93,55.6,26.26,4.548,53.1,48.282,NYK@DEN,230.0
Karl-Anthony Towns,NYK,C,8500,41.2,40.87,55.51,26.23,4.808,52.5,48.274,NYK@DEN,230.0
Devin Booker,PHX,PG,8300,39.1,39.88,54.18,25.58,4.805,52.1,47.268,NOP@PHX,222.5
Amen Thompson,HOU,PG,8200,38.32,39.85,54.13,25.57,4.86,51.9,47.25,POR@HOU,229.0
LaMelo Ball,CHA,PG,8700,39.58,39.62,53.82,25.42,4.554,52.4,46.957,MIA@CHA,216.5
Derrick White,BOS,PG,8100,37.31,38.44,52.21,24.67,4.746,51.5,45.786,DAL@BOS,224.5
Trey Murphy III,NOP,PG,7800,39.22,38.11,51.77,24.45,4.886,51.0,45.49,NOP@PHX,222.5
Bam Adebayo,MIA,C,8400,39.44,37.6,51.08,24.12,4.476,51.6,44.888,MIA@CHA,216.5
Cooper Flagg,DAL,PG,8800,38.39,37.4,50.8,24.0,4.25,52.0,44.63,DAL@BOS,224.5
Nikola Vucevic,BOS,C,6300,35.28,36.35,49.38,23.32,5.77,47.0,44.016,DAL@BOS,224.5
