name,team,primary_position,salary,avg_pts,proj_pts_dk,ceiling,floor,proj_own,gpp_score,dnp_risk,matchup
Nikola Jokic,DEN,C,12400,64.66,57.58,78.21,39.01,34.6,67.861,0.05,DEN@OKC
Shai Gilgeous-Alexander,OKC,PG,10700,50.97,47.19,64.11,31.77,34.3,56.834,0.05,DEN@OKC
Tyrese Maxey,PHI,PG,10100,49.06,44.17,60.01,29.74,33.9,53.658,0.05,PHI@CLE
Kawhi Leonard,LAC,SF,9800,46.02,43.08,58.52,28.85,33.6,52.522,0.05,NYK@LAC
James Harden,CLE,PG,9400,45.91,42.09,57.07,28.28,32.8,51.484,0.05,PHI@CLE
Donovan Mitchell,CLE,SG,9700,45.58,41.16,55.92,28.08,33.3,50.512,0.05,PHI@CLE
Joel Embiid,PHI,C,9600,44.95,40.03,54.38,27.11,33.0,49.335,0.05,PHI@CLE
Jamal Murray,DEN,PG,8900,44.1,39.71,53.94,26.74,31.9,49.102,0.05,DEN@OKC
Lauri Markkanen,UTA,SF,8300,42.32,43.06,58.5,27.62,30.7,49.849,0.05,GSW@UTA
Stephen Curry,GSW,PG,9000,42.91,42.46,57.68,27.24,32.1,49.117,0.05,GSW@UTA
Michael Porter Jr.,BKN,SF,7900,41.41,39.6,53.8,26.22,29.7,49.21,0.05,MEM@BKN
Keyonte George,UTA,PG,8000,40.61,41.32,56.13,26.51,29.9,48.119,0.05,GSW@UTA
Karl-Anthony Towns,NYK,C,8600,41.36,41.95,56.99,26.26,31.2,51.561,0.05,NYK@LAC
Jalen Brunson,NYK,PG,9100,41.18,41.77,56.73,26.15,32.1,51.27,0.05,NYK@LAC
Evan Mobley,CLE,PF,8400,39.78,35.42,48.11,24.36,30.6,44.661,0.05,PHI@CLE
Walker Kessler,UTA,C,3000,38.4,39.07,53.07,25.07,12.3,22.537,0.5,GSW@UTA
Ja Morant,MEM,PG,8500,37.51,33.78,45.88,22.75,30.7,42.903,0.05,MEM@BKN
Jimmy Butler,GSW,PF,3000,37.31,36.92,50.16,23.68,12.2,21.614,0.5,GSW@UTA
Chet Holmgren,OKC,PF,8700,35.41,32.43,44.06,21.95,31.0,41.444,0.05,DEN@OKC
Jusuf Nurkic,UTA,C,3000,34.52,35.12,47.7,22.54,12.1,20.837,0.5,GSW@UTA
Jaren Jackson Jr.,UTA,C,3000,34.35,34.95,47.48,22.42,12.0,20.773,0.5,GSW@UTA
Jalen Williams,OKC,SF,8200,34.16,31.98,43.43,21.42,29.7,41.083,0.05,DEN@OKC
Ty Jerome,MEM,PG,6600,34.65,32.84,44.56,21.45,27.2,42.226,0.05,MEM@BKN
Zach Edey,MEM,C,6200,33.77,31.75,43.13,20.9,25.3,41.286,0.05,MEM@BKN
Darius Garland,LAC,PG,6500,32.58,31.49,42.78,20.74,26.8,40.86,0.05,NYK@LAC
Jarrett Allen,CLE,C,7700,32.26,31.49,42.65,20.4,28.3,40.632,0.05,PHI@CLE
Paul George,PHI,SF,3000,32.34,31.36,42.6,20.32,11.6,42.24,0.5,PHI@CLE
VJ Edgecombe,PHI,SG,7100,32.26,30.64,41.63,20.07,27.8,39.858,0.05,PHI@CLE
Josh Hart,NYK,SG,6300,31.86,32.32,43.9,20.23,25.6,41.86,0.05,NYK@LAC
OG Anunoby,NYK,PF,6900,31.78,32.24,43.8,20.17,27.4,41.6,0.05,NYK@LAC
Nic Claxton,BKN,C,5500,30.77,30.06,40.84,19.68,22.4,39.779,0.05,MEM@BKN
Mikal Bridges,NYK,SF,6100,31.22,31.66,43.01,19.82,24.4,41.281,0.05,NYK@LAC
Bennedict Mathurin,LAC,SG,6200,30.34,30.47,41.25,19.41,24.8,39.888,0.05,NYK@LAC
Isaiah Hartenstein,OKC,C,6200,30.07,29.54,40.05,19.14,24.7,38.945,0.05,DEN@OKC
Aaron Gordon,DEN,PF,6300,30.64,29.5,39.97,18.96,25.2,38.837,0.05,DEN@OKC
Kristaps Porzingis,GSW,PF,5500,30.57,30.25,41.09,19.41,22.1,37.353,0.05,GSW@UTA
Santi Aldama,MEM,PF,5800,30.25,28.43,38.63,18.72,23.3,37.956,0.05,MEM@BKN
Peyton Watson,DEN,SF,6800,28.34,26.92,36.57,17.63,26.7,36.002,0.05,DEN@OKC
Isaiah Collier,UTA,PG,8100,27.5,27.98,38.0,17.96,28.4,34.509,0.05,GSW@UTA
Ajay Mitchell,OKC,PG,4600,27.19,27.53,37.33,17.57,17.7,37.51,0.05,DEN@OKC
Brandin Podziemski,GSW,PG,7400,27.41,27.12,36.84,17.4,27.2,33.726,0.05,GSW@UTA
Cedric Coward,MEM,SG,5100,27.31,26.48,35.98,17.16,20.2,36.188,0.05,MEM@BKN
Kelly Oubre Jr.,PHI,SG,6400,27.17,25.8,35.06,16.9,25.2,34.966,0.05,PHI@CLE
Jaylon Tyson,CLE,SF,5700,26.33,25.45,34.57,16.76,22.6,34.844,0.05,PHI@CLE
Dennis Schroder,CLE,PG,5200,25.14,25.29,34.29,16.21,20.2,34.876,0.05,PHI@CLE
John Collins,LAC,PF,6000,25.05,24.22,32.9,15.94,23.3,33.465,0.05,NYK@LAC
Kyle Filipowski,UTA,PF,7800,25.0,25.44,34.55,16.33,27.2,31.992,0.05,GSW@UTA
Draymond Green,GSW,PF,5600,25.65,25.38,34.48,16.28,21.9,32.362,0.05,GSW@UTA
Cam Spencer,MEM,SG,4800,25.14,24.32,37.34,11.33,18.4,36.644,0.05,MEM@BKN
Scotty Pippen Jr.,MEM,PG,5300,24.95,24.41,37.45,11.31,20.3,36.543,0.05,MEM@BKN
Quentin Grimes,PHI,PG,6000,24.94,23.97,36.67,11.12,23.0,35.694,0.05,PHI@CLE
Noah Clowney,BKN,PF,5200,23.91,23.84,36.66,11.14,19.8,35.976,0.05,MEM@BKN
De'Anthony Melton,GSW,SG,5900,23.85,23.6,36.28,10.92,22.5,33.087,0.05,GSW@UTA
Miles McBride,NYK,PG,3000,23.44,23.77,36.55,10.72,10.0,36.872,0.5,NYK@LAC
Ace Bailey,UTA,SF,6700,22.77,23.17,31.48,14.86,25.4,29.809,0.05,GSW@UTA
Day'Ron Sharpe,BKN,C,5000,22.7,22.64,34.81,10.57,19.0,34.646,0.05,MEM@BKN
Christian Braun,DEN,SG,5300,22.76,22.07,33.94,10.31,19.8,33.902,0.05,DEN@OKC
Max Strus,CLE,SG,4900,22.0,21.87,33.52,10.16,18.4,33.74,0.05,PHI@CLE
Egor Demin,BKN,PG,4800,21.93,21.86,33.61,10.22,17.8,33.851,0.05,MEM@BKN
Al Horford,GSW,PF,5400,22.53,22.29,34.27,10.31,20.1,31.789,0.05,GSW@UTA
Cason Wallace,OKC,SG,5500,21.79,21.64,33.16,10.04,20.6,33.246,0.05,DEN@OKC
Sam Merrill,CLE,SG,5400,21.74,21.57,33.16,10.1,20.0,33.288,0.05,PHI@CLE
Moses Moody,GSW,SF,6300,22.27,22.04,33.89,10.19,23.5,31.235,0.05,GSW@UTA
Cameron Johnson,DEN,SF,5600,21.89,20.79,31.98,9.81,20.9,32.296,0.05,DEN@OKC
Jaylen Wells,MEM,SF,4800,21.58,20.92,32.17,9.77,17.4,32.792,0.05,MEM@BKN
Andre Drummond,PHI,C,4700,21.57,21.32,32.64,9.77,16.7,33.244,0.05,PHI@CLE
Tim Hardaway Jr.,DEN,SF,4600,21.38,20.74,31.89,9.68,16.0,32.719,0.05,DEN@OKC
Brice Sensabaugh,UTA,SG,5600,20.72,21.08,32.41,9.75,20.7,30.362,0.05,GSW@UTA
Vince Williams Jr.,UTA,PG,3000,20.67,21.03,32.33,9.73,9.0,15.912,0.5,GSW@UTA
Marjon Beauchamp,PHI,SG,3000,21.12,20.53,31.49,9.52,9.0,33.126,0.5,PHI@CLE
Aaron Wiggins,OKC,SF,4700,20.5,20.74,31.79,9.55,16.4,32.619,0.05,DEN@OKC
Derrick Jones Jr.,LAC,SF,5000,20.44,21.05,32.15,9.51,18.0,32.752,0.05,NYK@LAC
Gregory Jackson,MEM,PF,6400,21.0,19.74,30.35,9.37,23.4,30.805,0.05,MEM@BKN
Jaylin Williams,OKC,PF,5700,20.41,20.37,31.17,9.42,20.8,31.714,0.05,DEN@OKC
Kris Dunn,LAC,PG,4900,20.39,20.34,31.27,9.49,17.3,32.117,0.05,NYK@LAC
Mitchell Robinson,NYK,C,4100,20.92,21.22,32.62,9.58,12.9,33.587,0.05,NYK@LAC
Danny Wolf,BKN,PF,4500,20.08,20.02,30.78,9.36,14.8,31.993,0.05,MEM@BKN
Isaiah Joe,OKC,SG,4700,19.24,19.41,29.7,8.92,16.0,31.072,0.05,DEN@OKC
Luguentz Dort,OKC,SG,4500,18.61,18.77,28.73,8.63,14.7,30.46,0.05,DEN@OKC
Kevin Love,UTA,C,3800,18.24,18.56,28.54,8.58,11.6,28.222,0.05,GSW@UTA
Dominick Barlow,PHI,PF,4400,18.73,18.55,28.39,8.48,14.0,30.271,0.05,PHI@CLE
Terance Mann,BKN,PG,3700,18.06,18.01,27.69,8.41,11.1,30.007,0.05,MEM@BKN
Javon Small,MEM,PG,5400,18.32,17.98,27.56,8.31,18.7,29.161,0.05,MEM@BKN
Bruce Brown,DEN,PG,4600,18.31,18.08,27.68,8.3,14.9,29.638,0.05,DEN@OKC
Jordan Miller,LAC,PG,4100,17.73,17.68,27.19,8.26,12.3,29.504,0.12,NYK@LAC
Ziaire Williams,BKN,SG,4300,17.69,17.46,26.85,8.2,13.1,29.165,0.12,MEM@BKN
Jose Alvarado,NYK,PG,3600,18.17,18.43,28.33,8.32,10.5,30.556,0.05,NYK@LAC
Jonas Valanciunas,DEN,C,3700,17.94,17.8,27.24,8.12,10.7,29.724,0.12,DEN@OKC
Nolan Traore,BKN,PG,4400,17.29,17.24,26.51,8.05,13.5,28.866,0.12,MEM@BKN
Kentavious Caldwell-Pope,MEM,SG,3000,17.48,16.9,25.95,7.87,7.7,29.025,0.12,MEM@BKN
Isaiah Jackson,LAC,C,3900,16.73,16.68,25.65,7.79,11.2,28.44,0.12,NYK@LAC
Brook Lopez,LAC,C,4800,16.72,16.67,25.63,7.79,15.7,27.975,0.12,NYK@LAC
